pair_id	han_sentence	viet_sentence
pair_0016	金十一兩二錢二分	Dưới triều Minh Mệnh, Phan Huy Chú soạn Dư địa chí, một phần quan trọng của Lịch triều hiến chương loại chí, một quyển địa lý học sơ lược về nước Đại Nam.
pair_0017	銀四千八百九十八兩	Dưới triều Tự Đức, Quốc sử quán biên soạn ra Đại Nam nhất thống chí, là bộ sách lớn chúng tôi sẽ nói kỹ ở sau.
pair_0018	慶和省	Năm 1886, tức năm Đông Khánh thứ 2, theo lệnh của triều đình Huế, Hoàng Hữu Xứng đã làm xong bộ Đại Nam quốc cương giới vựng biên gồm nhatthongchiT1ch.pdf bây quyển.
pair_0019	丁八十五十六人	Sau đó triều đình lai sai Quốc sử quán biên soạn bộ Đồng Khánh địa dư chí mà người ta còn gọi là Đồng Khánh ngự lãm dư địa chí lược hoặc Đông Khánh địa dư chí lược gồm có 27 quyển và nhiều bản đồ.
pair_0020	田土一萬二千五百九十三	Nam Kỳ lúc này đã là thuộc địa của Pháp rồi nên Đồng Khánh địa dư chí không nói đến các tỉnh thuộc đất Gia Định cũ, mà chỉ nói đến các tỉnh thuộc Trung Kỳ và Bắc Kỳ mà thôi.
pair_0021	稅粟六萬六千五百三十九錢一萬六千四百三十一貫	Năm 1909, tức năm Duy Tân thứ 3, triều đình Huế lại sai Quốc sử quán soạn lại bộ Đại Nam nhất thống chí mà nhiều người thường gọi là Đại Nam nhất thống chí mới, khác với bộ Đại Nam nhất thống chí soạn từ đời Tự Đức được gọi là Đại Nam nhất thống chí cũ.
pair_0022	銀一百十一兩	Đại Nam nhất thống chí mới chỉ nói về các tỉnh thuộc Trung Kỳ mà thôi, còn đất Nam Kỳ bị coi là thuộc địa Pháp, đất Bắc Kỳ là đất bảo hộ của Pháp không hề được nói đến.
pair_0023	平順省	Ngoài các sách kể trên, các sách sau đây cũng có nhiều tài liệu về địa lý học rất cần cho những ai muốn nghiên cứu lịch sử hoặc địa lý Việt Nam về thời trước.
pair_0024	有万一萬三千一百六十三人田土三萬九千七百二十四	An Nam chí lược của Lê Tắc; quyển hai trong số tám quyển còn lại của bộ Thiên Nam dư hạ tập biên soạn đời Le Thdnh Téng: quyén Hộ thuộc, mot trong ba quyển còn lại của bộ Lê triều hội điển  được biên soạn hồi thế ky XVIII; Kiến văn tiểu lục của Lê Quý Đôn; Phủ biên tạp lục cũng của Lê Quý Đôn; Toản tập thiên nam tứ chí bộ đồ thư được biên soạn vào khoảng cuối thế kỷ thứ XVII hoặc đầu thế kỷ XVIII; Thối thực ky văn (quyển chép về phong vực) của Trương Quốc Dụng soạn đời Minh Mệnh; Sử học bị khảo của Đặng Xuân Bảng v.v.. Về địa lý địa phương, hiện chúng ta có: Ô châu cận lục của Dương Văn An đời Mạc chép về núi sông, thành trì, phong tục của xứ Thuận Quảng; Gia Định thông chí của Trịnh Hoài Đức; Hưng Hoá phong thổ chí của : Hoàng Bình Chính; Bắc thành địa dư chí 12 quyển; Nghệ An chí của Bùi Dương Lịch; Hưng Hóa ký lược của Phạm Thận Dudt; Cao 'o Bằng kỷ lược của Phạm An Phủ.
pair_0025	稅粟三萬二千四十四斛錢三萬八千三百貫	Về địa lý học Việt Nam trong các thời trước, chúng ta còn phải kể: Việt du thing chí toàn hiên của Lý Trần Tấn đời Gia Long; Hoàng Việt địa dư chí gồm hai quyển Đại Nam địa dư toàn biên mà chúng ta vẫn thường gọi là Phương Đình địa chí của Nguyễn Văn Liên soạn ra từ đời Minh Mệnh; Việt sử địa dư cia Phan Đình Phùng; Đại Việt cổ kim duyên cách địa chí của Nguyễn Thụy Trân; Nam quốc địa dư chí, Tân đính Nam quốc địa dư giáo khoa thư của Lương Trúc Đàm; Hiện Kim Bắc Kỳ địa dư sử ký của Ngô Giáp Đậu... nhatthongchiT1ch.pdf © Trong tất cả các sách về địa lý học kể trên, thì Đại Nam nhất thống chí đời Tự Đức là bộ sách địa lý học Việt Nam đầy đủ nhất dưới thời phong kiến.
pair_0026	六百八十五兩	Đại Nam nhất thống chi theo bộ Pai Thanh nhất thống chí của Trung Quốc mà chia ra các mục như: phương vi, phân dã, kiến trí, duyên cách, phủ huyện, hình thế, khí hậu, phong tục, thành trì, học hiệu, hộ khẩu, điền phú, son xuyên, quan tấn, dịch trạm, thị lập, từ miếu, tự quán, phân việt, thổ sản v.v.. Ngoài ra, Đại Nam nhất thống chí con có những quyển chép riêng về Cao Miên (Campuchia), Xiêm La, Miến Điện, Nam Chưởng, Vạn Tượng.
pair_0027	邊和有丁一萬二千一百九十人	Ở tất cả các mục, Đại Nam nhất thống chí có rất nhiều tài liệu không những về địa lý mà cả về lịch sử, kinh tế, chính trị, văn học nghệ thuật nữa.
pair_0028	田土一萬四千九百三十二六	Về tất cả các tỉnh của nước Việt Nam từ Lạng Sơn đến Hà Tiên.
pair_0029	稅粟一萬二千二百七十七斛錢三萬七千三百七十一貫	Đại Nam nhất thống chí cung cấp cho người đọc rất nhiều tài liệu quý báu.
pair_0030	銀二千一百九十三兩	Sau khi công việc biên soạn Đại Nam nhất thống chí đã hoàn thành, vua Tự Đức sai sửa lại và soạn thêm một quyển Bổ biên nữa để ghi chép các sự kiện cho đến hết năm 1881.
pair_0031	嘉定省	Quyển Bổ biên (Đại Nam nhất thống chí) vừa làm xong thì đêm hôm 4 rạng ngày 5 tháng 7 năm 1885 xảy ra trận Tôn Thất Thuyết đánh úp quân Pháp ở Huế, và ngày 5 xảy ra trận quân Pháp phản công.
pair_0032	丁三萬二千八百二十六人 田二七萬五千六十三部	Bản thảo Bổ biên bị thất lạc.
pair_0033	稅粟十六萬七千三百五斛錢十一萬二千二十七貫	Vì vậy bộ  sách Đại Nam nhất thống chi doi #ự Đức bị thiếu mất một phần.
pair_0034	银五千七百八十九兩	Tuy vậy nó vẫn là bộ sách địa lý học của Việt Nam đầy đủ nhất dưới thời phong kiến.
pair_0035	定祥省丁二萬二千五百八十四人田土十四萬八千八百七十八部	Đại Nam nhất thống chí đời Tự Đức còn lại cho chúng ta là bộ sách chép tay không có tựa, không có tên tác giả và năm tháng biên soạn.
pair_0036	稅粟十一萬二千七百五十三斛錢十二萬五千八百四貫	Căn cứ vào duyên cách các tỉnh, đạo, phủ, huyện, thì có thể đoán được rằng sách được biên soạn vào thời gian trước năm Tự Đức thứ 29 (1875) là năm đặt lại tỉnh Hà Tĩnh (sách còn chép là đạo Hà Tĩnh) và sau năm Tự Đức thứ 18 (1864) là năm chia lại hai huyện Tuy Viễn và Tuy Phước thuộc tỉnh Bình Định.
pair_0037	銀六百七十九兩	Trong các bản chép tay Đại Nam nhất thống chí hiện còn giữ được, hiện có hai bản: bản của Viện Sử học đề là Cựu Đại Nam nhất thống chí ky hiệu HV.140 gồm 9 tập, và bản Đại Nam Nhất thống chí ký hiệu A.69 gồm 28 tập của Thư viện Khoa học.
pair_0038	永隆省	Thư viện Viện Sử học còn có một bản Đại Nam nhất thống chí ky liệu HV.38, so với hai bản trên thì có một số điểm khác nhau, nhưng bản ký hiệu HV.38 lại thiếu mất mấy quyển về Trung Kỳ, Bắc Kỳ và toàn bộ các tỉnh Nam Ky.
pair_0039	丁二萬八千三百二十二人 田土十三萬九千九百三十二畝	Ngoài ra, chúng ta còn có bộ Đại Nam nhấtthống chí do Quốc sử quán đời Duy Tân biên soạn, được khắc in năm 1909, nhưng bộ sách nay chỉ có các tỉnh Trung Kỳ.
pair_0040	稅粟九萬五千四百七十九斛錢十一萬九千四百十六貫	10 nhatthongchiT1ch.pdf Để cho công tác phiên dich va hiệu đính được chính xác, chúng tôi căn cứ vào bản HV.140 của Thu viện Viện Sử học và bản A.69 của Thư viện Khoa học, đối chiếu hai bản với nhau để lấy những phần mà chúng tôi cho là đúng nhất.
pair_0041	銀一千四百六十兩	Trong khi phiên dịch và hiệu đính, chúng tôi đã lượt bỏ bớt những đoạn trích dẫn các sách của Trung Quốc mà chúng tôi cho là quá rườm và không chính xác.
pair_0042	安江省 丁一萬五千八百六十五人田土八萬八千三百三十六武	Chúng tôi lại bỏ bớt một số thơ văn không có nghĩa lý gì về mặt địa lý.
pair_0043	稅粟五萬五千五百六十斛錢二萬一千四百七十一貫	Hai bản chép tay Đại Nam nhất thống chí của Thư viện Viện Sử học đều không chép số thứ tự các quyển.
pair_0044	銀二千四百十一兩	Bản ký hiệu A.69 của Thư viện Khoa học có chép số thứ tự các quyển, nhưng sự sắp đặt lại khác sự sắp đặt của hai bản kia.
pair_0045	河僊省丁三千七百九十三人	Trong bản dịch này, chúng tôi dựng thứ tự các quyển trong Đại Nam nhất thống chí theo trình tự như sau: ` Bắt đầu là Kinh sư đến các tỉnh Hữu trực từ Quảng Bình đến Thanh Hoá, rồi đến các tỉnh Tả trực từ Quảng Nam đến Bình Thuận.
pair_0046	四五二千六百九十	Về Bắc Kỳ và Nam Kỳ, chúng tôi xếp Bắc Kỳ lên trước rồi đến Nam Kỳ.
pair_0047	祝乘一千四百八斛	Các tỉnh Bắc Kỳ chúng tôi xếp Hà Nội lên trước rồi đến Ninh Bình là tỉnh thống hạt với Hà Nội, sau đó lần lượt đến các tỉnh đồng bằng, các tỉnh miền núi.
pair_0048	錢七千四百四十一貫	Trong khi sắp xếp, chúng tôi chú ý đặt các tỉnh cùng 11  thống hat liền nhau, tức Nam Định liền với Hung Yên, Hải Dương liên với Quảng Yên, Bắc Ninh liên với Thái Nguyên, Sơn Tây liền với Hưng Hoá và Tuyên Quang, Lạng Son liền với Cao Bằng.
pair_0049	假二千一百九十二兩	Các tinh Nam Kỳ thì đặt Gia Định là tỉnh trung tâm, rồi đến Biên Hòa, Định Tường, Vĩnh Long, An Giang, Hà Tiên theo thứ tự từ đông sang tây.
pair_0050	大南一統志	Sau hết đến Thủy Xá, Hóa Xá là miền Tây Nguyên ngày nay.
pair_0051	卷三一	Ở sau các quyển Quảng Ngãi, Vĩnh Long và .
pair_0052	京師	Thủy Xd, Hỏa Xá, chúng tôi phụ chép những tài liệu về quần đảo Hoàng Sa, quần đảo Côn Lôn và về Thủy Xá, Hỏa Xá lấy trong các sách địa chí khác để bổ ‘sung cho Đại Nam nhất thống chí.
pair_0053	京師統山海之會居南北之中大海環其左重巖拱其右海	Cuối cùng chúng tôi thêm một mục “Các dòng sông lớn của nước ta” căn cứ theo sách Sử học bị khảo của Đặng Xuân Bảng với mục đích giáp các bạn đọc tìm hiểu về các dòng séng được dễ dàng.
pair_0054	雲當其前橫山開衝其後環江為池對山作屏竟蟠虎號重金	Đại Nam nhất thống chí da của Thư viện Viện Sử học hay của Thư viện Khoa học đều là sách chép tay.
pair_0055	襲湯此跡帝王之上都也自安南建國在陳為順化路黎為順化承宣	Do đó có nhiều chỗ sai lầm.
pair_0056	均称重鎮麥朝	Đã thế, trong sách lại có rất nhiều tên đất, tên thổ sắn mà các sử thần trong Quốc sử quán của nhà Nguyễn không chép các tên đất, tên thổ sản theo tiếng Việt, mà lại dịch ra chữ Hán.
pair_0057	熙尊孝文皇帝徙于福安嘗黎神尊永祚年	Thí dụ Đầm Nát được viết thành Toái Đàm, Ngã ba Nhà Bè thank Phù Gia tam giang khẩu, 12. nhatthongchiT1ch.pdf Vũng Tàu thanh Thuyền Áo, Bến Nghé thanh Ngưu Chu, lúa nếp nghén cổ thank điên cảnh đạo, lông cu ly thành kim mao cẩu cốt v.v.. | Trong số các tên đất, tên thổ sản ấy, có tên chúng tôi tìm ra tiếng Việt để dịch, có tên không tìm ra được.
pair_0058	太祖嘉裕皇帝受天脊命肇基南服定嘗愛子嘗 世亨嘉靖辛	Về các chỗ sai ldm, chúng tôi đã cố gắng rất nhiều để sửa chữa.
pair_0059	九年	Chúng tôi đã tham khảo các sách như Ô châu cận lục, An Nam chí nguyên, Dư địa chí (của Nguyễn Trãi), Kiến văn tiểu lục, Phủ biên tạp lục, Gia Định thông chí, Thối thực ký văn, Hưng Hóa phong thổ chí, Hưng Hóa ký lược, Hoàng Việt địa dư chí, v.v.. để sửa chữa càng nhiều càng hay.
pair_0060	神尊孝昭皇帝遷于金龍常來 午	"Tuy vậy khả năng của chúng tôi rất hạn chế, trong việc phiên dịch tên đất, tên thổ sản ra tiếng Việt cũng như trong việc đính chính các sai lầm mà chúng tôi tìm thấy trong bản chép tay bộ Đại Nam nhất thống chí ký hiệu A.69, và cả trong bộ Đại Nam nhất thống chí đời Duy Tân nữa, chúng tôi tin rằng có thể chúng tôi phạm những sai lầm này ""hoặc sai ldm khác."
pair_0061	英尊孝義皇帝穆于宗春祚正宏 庚熙二十七年	Chúng tôi rất mong cdc bạn đọc chỉ bảo cho.
pair_0062	世尊孝武皇帝始政正堂称都城皆順化地也北跨湟江南拓占滕	Trước khi kết thúc lời nói đầu chúng tôi xin nói thêm rằng, Dại Nam nhất thống chí được hai.
pair_0063	黎神尊阳和	13 dainamnhatthongchiT1le.pdf nhà sử học, hán học: Phạm Trọng Điểm phiên dịch từ đầu cho đến cuối và Đào Duy Anh hiệu đính.
pair_0064	黎兆尊正和九年	Hai cụ Phạm Trọng Điềm và Đào Duy Anh cũng như bản thân người viết những dòng này đã cố gắng nhiều để bản dịch được chính xác.
pair_0065	列聖相承二百餘年甲子年祠鄭人侵併尋為西賦節愧參三十年我	Nhưng chúng tôi vẫn tin rằng những sai lầm trong việc phiên dịch một bộ sách lớn như Đại Nam nhất thống chí chốc chắn lò có nhiều.
pair_0066	世祖高皇帝聖武隆興近行天討沐中秋充復嘉定辛酉夏充復首都	Tuy vậy chúng tôi vẫn mạnh dạn: đem Đại Nam nhất thống chí ra xuất bản để góp thêm vào công việc nghiên cứu lịch sử dân tộc, đất nước của tổ tiên.
pair_0067	壬戌夏兆矜僞孳奄有安南混一統之興圖塌三同之文執幅隕所盟南	| Chúng ta, người Việt Nam, chúng ta yêu đất nước Việt Nam.
pair_0068	抵暹降此交清國表至于海西踰棄宿還履首迹拓而者之定都	Chúng ta càng yêu đất nước Việt Nam khi chúng ta hiểu rõ lịch sử đất nước của chúng ta.
pair_0069	富春秋京師焉宅中處率朝貢道均似屋極之差高而四家內徵此惟為	Chúng tôi cho tái bản Đại Nam nhất thống chi theo chương trình hợp tác xuất bản giữa Viện Sử học và Nhà xuất bản Thuận Hoá chính là nhằm góp thêm vào công tác làm tăng lòng yêu dấu đất nước của tổ tiên.
pair_0070	之舍所而眾星環拱我	m VIỆN SỬ HỌC - NHÀ XUẤT BẢN THUẬN HÓA 14 nhatthongchiT1ch.pdf DAI NAM NHẬT THONG CHÍ | QUYỀN I KINH SU Kinh sư là nơi miền núi, miền biến đều họp về, đứng giữa miền Nam miền Bắc, đất đai cao ráo, non sông phẳng lặng.
pair_0071	國家鄭泰之妄基於此知術欲仕哉	Đường thủy thì có cửa Thuận An, cửa Tư Hiền sâu hiểm; đường bộ thì có Hoành Sơn, ải Hải Vân chặn ngăn; sông lớn giăng phía trước, núi cao giữ | phia sau, rong cuốn hổ ngồi, hình thế vững chai, ấy là do trời đất xếp đặt, thật là thương đồ của nhà vua.
pair_0072	○承府東西距九十一里南北距一百八十九里有奇東至于海三十一里西至于岗六十	Xem sự ghi chép trong các sách, thì thấy: từ đời Đường Nghiêu đến đời Thành Chu, đây là đất Việt Thường thị, đời Hán là quận Nhật Nam; từ An Nam dựng nước đến đời Trần là lộ Thuận Hoá, đời Lê là Thuận Hoá thừa tuyên.
pair_0073	里南至于山崗九十四里北至廣平者一百九十五里東南至海雲阔夾廣南有界一百	_Xét: hai xứ Thuận Quảng, đời Hán] là huyện Tượng Lâm, đời Tấn, Đường là nước Lâm Ấp, đời Tống là nước Chiêm Thành.
pair_0074	三十里西南至山崗九十餘里東北至海三十九里西北至廣平省山崗二百三十條望	Đường thư, Địa lý chí chép: giáp Châu Hoành Sơn quận có 5 huyện là đất Thuận Hoá bây giờ.
pair_0075	分野	Đời Lý Thánh Tông, năm Thiên huống Bảo Tượng thứ 2 (1069), vua đi đánh Chiêm Thành, bắt 15 dainamnhatthongchiT1le.pdf chúa Chiêm Thành là Chế Củ đem về, Chế Củ xin dâng ba châu Địa Lý, Ma Linh và Bố Chính để chuộc tội, vua y cho và tha cho Chế Củ về nước.
pair_0076	天文翼軫分野鶉尾之火	Nhân năm Thái Ninh thứ 4 (1075) đời Nhân Tông đổi châu Địa Lý làm châu Lâm Bình, châu Ma Linh làm châu Minh Linh, chiêu tập nhân dân đến ở, do đấy, từ Đèo Ngang trở vào Nam mới thuộc vào bản đồ nước ta.
pair_0077	是置沿華古為越裳氏之城秦屬象郡溪爲日南郡溪末為林邑所據隋大	Năm Long Phù thứ 3 (1103), chúa Chiêm Thành là Chế Ma Na lấn cướp lấy lại ba châu; năm thứ 4 vua sai Lý Thường Kiệt đi đánh, Chế Ma Na lại nộp trả ba châu này.
pair_0078	貞現二年綏懷林邑以比景即置七寸又更各南景升又改景卅領縣三	Thần Tông năm Thiên Thuận thứ 5, Chiêm Thành cùng Chân Lạp liên kết với nhau đem quân cướp Nghệ An.
pair_0079	業元年初方平林邑以其地置閣州尋改置比景郡統縣四清末復沒於林色虎	Đời Trần Anh Tông năm Hưng Long thứ 14 (1306), chúa Chiêm Thành là Chế Man sai sứ sang cầu hôn, vua gd Huyền Trân công chúa cho, Chế Mân dâng đất hai châu Ô, Lý làm lễ cưới; năm thứ 15, đổi hai châu Ô, Lý làm hai châu Thuận, Hoá.
pair_0080	由义	Năm thứ 20 (1312), vua thân đi đánh .
pair_0081	比景朱吳	Chiêm Thành, đến trại Câu Chiêm(”, dụ chúa là Chế Chí ra hàng.
pair_0082	僑治薩卅之南境貞觀後致屬占城為烏里二卅安南陳興隆英尊十四年取	Năm thứ 21, Chiêm Thành bị người La Hoc?
pair_0083	二卅之地置順卅化寸	lấn cướp, Anh Tông sai Đỗ Thiên Thử làm Kinh lược sứ Nghệ An, Lâm Bình.
pair_0084	二府本朝學基南服	| (1) Tức Kẻ Chàm, nay là đất Quảng Nam.
pair_0085	順可今顏沉	(2) La Hộc vốn là tên nước phía Nam nước Xiêm, sau La Hộc tiến chiếm nước Xiêm, xưng là Xiêm La Hộc, từ năm Hồng Vũ thứ 10 nhà Minh của Trung Quốc gọi là Xiêm La.
pair_0086	化亦今承時	16 nhatthongchiT1ch.pdf Du Tông năm Thiệu Phong thứ 13 (1353), Chiêm Thành cướp châu Hoá, vua sai Trương Hán Siêu thống lãnh các quân Thần sách để trấn giữ.
pair_0087	三十七年	Năm Đại Trị thứ 4 (1361) lấy Phạm A Song làm Tri phủ Lâm Bình (tức châu Lâm Binh, không rõ thăng làm phủ từ thời nào); lại sai Đỗ Tử Bình tuyển bổ quân lính Lâm Bình, Thuận Hoá, đắp thành Hoá Châu.
pair_0088	路屬海西道設總管知府光順十年置順化承宣三司	Năm thứ 9 (1366), Chiêm Thành đánh cướp Lâm Bình nhưng bị Phạm A Song đánh tan; năm thứ 10, Chiêm Thành lại làm phản, vua sai Trần Thế Hưng đi đánh, đến Chiêm Động thì thua chết.
pair_0089	當明世尊嘉靖	Nghệ Tông năm Thiệu Khánh thứ 2 (1371), Chiêm Thành vào cướp kinh đô (Thăng Long), đốt phá cướp bóc rồi kéo quân về.
pair_0090	奄有順化之地延堂變子	Duệ Tông năm Long Khánh thứ 3 (1375), đổi phủ Lâm Bình làm phủ Tân Bình.
pair_0091	陳末屬明改置順化府以二卅隸之秦初改為順化	Ngoài ra, xem phần Quảng Bình và Thừa Thiên.
pair_0092	室司	Bản triều Thái Tổ Gia Dụ Hoàng Đết!)
pair_0093	南司承 碩肇豐新平	chịu mệnh trời cho, gây dựng cơ nghiệp Ở miền Nam, bắt đầu đóng dinh ở Ái Tử, sau dời đến Trà Bát (Ái Tử và Trà Bát đều là tên xã, thuộc huyện Đăng Xương, gọi là Dinh Cát).
pair_0094	登昌縣	Sau đó, Hi Tông Hiếu Văn Hoàng Đế?
pair_0095	子社名今尋改	lại từ Dinh Cát dời đến Phúc Yên (tên xã, thuộc huyện Quảng Điền).
pair_0096	金柔縣為香築母田縣為畫田思榮縣為富榮武昌野為登昌摘奠	(1) Tên là Nguyễn Hoàng, tức chúa Tiên (1558-1613).
pair_0097	盤一縣升為府改詠廣南	(2) Tên là Phúc Nguyên, tức chúa Phật (1614-1635).
pair_0098	吳尊孝義皇帝丁卯元年常恭熙年山北	1 dainamnhatthongchiT1le.pdf Thần Tông Hiếu Chiêu Hoàng Đết) nhận thấy Kim Long (tên xã, thuộc huyện Hương Trà) là nơi hình thế đẹp, lại dời dinh đến đấy.
pair_0099	迁于富者	Đến đời Anh Tông Hiếu Nghĩa Hoàng Đếf lại dời dinh đến Phú Xuân (tên xã, thuộc huyện Hương Trà), gọi là Chính dinh; về sau Thế Tông Hiếu Vũ Hoàng Đế mới gọi là đô thành.
pair_0100	世享孝武皇帝因之	Những địa điểm đóng dinh đều là đất Thuận Hóa, phía bắc vượt sông Gianh, phía nam mở mang sang đất Chiêm Lạp (tức Chiêm Thành và Chân Lạp), các chúa thánh thần nối tiếp nhau hơn hai trăm năm.
pair_0101	阮悉延刻人极其地辛酉夏世祖高皇帝充復首都循掌豐府吉茶亥	Khoảng năm Giáp Ngọ, đời Duệ Tông Hiếu Định Hoàng Đết, bị quân Trịnh lấn chiếm, sau lại bị Tây Sơn chiếm cứ 30 năm.
pair_0102		Thế Tổ Cao Hoàng Đế ta nổi dậy, thừa mệnh trời đánh dẹp.
pair_0103		Mùa thu năm Mậu Tuất (1778), thu phục đến Gia Định, mùa hè năm Tân Dậu (180 1) lấy lại đô thành cũ, mùa hè năm Nhâm Tuất (1802) bắt được giống giặc ở phía Bắc, thống nhất đất nước, cương vực rộng lớn, phía nam đến Xiêm La, Chân Lạp, phía bắc đến Vân Nam, Lưỡng Quảng, phía đồng đến biển, phía tây đến Lão Qua, Ai Lao, lại theo vết cũ, mở rộng mãi ra, đóng đô ở Phú Xuân, mới gọi là (1) Tên là Phúc Lan, tức chúa Thượng (1636-1648).
pair_0104		(2) Tên là Phúc Trăn, tức chúa Ngãi (1687-1691).
pair_0105		_(3) Tên là Phúc Khoát, hiệu Từ Tế đạo nhân (1739-1765).
pair_0106		(4) Tên là Phúc Thuần, hiệu Khánh Phủ đạo nhân (1766-1777).
pair_0107		(5) Tên là Anh, là Ching, niên hiệu Gia Long (1802-1819).
pair_0108		18 nhatthongchiT1ch.pdf Kinh su.
pair_0109		Kinh sư đóng nơi chính giữa, đường triều cống đều nhau, không khác gì nóc nhà ở cao mà .
pair_0110		bốn mặt chầu vào, sao Bắc thần đứng ngôi mà các sao chầu vào, nước nhà ta được vững bền như núi Thái, gây nền từ đây, thật là tốt đẹp.
pair_0111		THÀNH TRÌ KINH THÀNH Chu vi 18 dặm linh, cao 1 trượng 5 thước 3 tấc, dày 5 trượng, xây gạch, mở 1 cửa: phía trước 4 cửa là Thể Nhân, Quảng Đức, Chính Nam và Đông Nam; phía tả 3 cửa là Chính Đông, Đông Bắc và Trấn Bình; phía hữu hai cửa là Chính Tây và Tây Nam; phía sau hai cửa là Chính Bắc và Tây Bắc; hào chu vi 19 dặm linh, rộng 7 trượng 5 thước, sâu 1 trượng.
pair_0112		Các cửa thành đều bắc cầu đá qua hào.
pair_0113		Mặt trước chính giữa xây Kỳ đài.
pair_0114		Bốn phía trên mặt thành xây 24 pháo đài: phía trước là Nam Minh, Nam Hưng, Nam Thắng, Nam Chính, Nam Xương và Nam Hanh; phía tả là Đông Thái, Đông Trường, Đông Gia, Đông Phụ, Đông Vĩnh và Đông Bình; phía hữu là Tây Thành, Tây Tuy, Tây Tĩnh, Tây Dực, Tây An và Tây Trinh; phía sau là Bắc Định, Bắc Hòa, Bắc Thanh, Bắc Trung, Bắc Thuận và Bắc Điện; lại đặt 455 xưởng súng và điếm canh, 95 phường.
pair_0115		19 dainamnhatthongchiT1le.pdf Trong thành đào sông gọi là Ngự Hà, xây 3 cầu đá qua sông, từ đường cái cửa Đông Nam, đến cửa Chính Bắc gọi là cầu Ngự Hà, từ phía bắc hoàng thành đến phía tả cung Khánh Ninh gọi là cầu Khánh Ninh, từ đường cái cửa Chính Nam đến cửa Tây Bắc gọi là cầu Vĩnh Lợi.
pair_0116		Ngoài ra còn có hai cầu gỗ: từ phía tây trước cửa Kinh Thương đến phía nam ruộng Tịch Điền gọi là cầu Bác Tế, từ con đường phía hữu hoàng thành đến phía tả cung Bảo Định gọi là cầu Bình.
